20220914	12:23:17	cf6adcd4-16d0-4c0f-af5b-5f69514f9d17	/	GET
20220914	12:23:17	83e88549-5093-4389-8896-10bb1cd27d29	/css/style.css	GET
20220914	12:23:25	5a087b62-a38c-45a7-bd45-f9b5dd150231	/new-page.html	GET
20220914	12:23:25	152239ee-62a4-459f-b99f-e28da57ebff5	/css/style.css	GET
20220914	12:23:25	fd0e8bab-3241-4308-bd2b-f796312c4258	/img/img1.jpg	GET
20220914	12:24:09	4a6f0d84-27bf-45df-8e16-d362f5066246	/new-page.html	GET
20220914	12:24:58	0135e071-7154-4765-bd7b-d5f134a9bcc3	/new-page.html	GET
20220914	12:24:59	98634068-b533-4161-ba3e-7805e9f9423f	/new-page.html	GET
20220914	12:25:06	60303a0c-3052-4d49-87c2-5be96fb693e7	/new-page.html	GET
20220914	12:25:06	85536c2b-4c74-40cb-8dbe-9af4adbd52b9	/css/style.css	GET
20220914	12:25:06	22a77262-2881-45ae-99aa-8540027ea200	/img/img1.jpg	GET
20220914	13:05:26	d7850c9c-8993-4d18-a703-c5518868ff04	GET	undefined	/
20220914	13:05:26	5fa561bc-d8c6-4385-949d-62c4feb26a41	GET	undefined	/css/style.css
20220914	13:07:33	d523ba07-bc3c-4b53-a146-77c83ba8aaf9	GET	undefined	/
20220914	13:07:33	c8c151ba-8c91-47d6-9e4a-d98ba8350cac	GET	undefined	/css/style.css
20220914	13:07:38	5f1c0e0d-3199-4c60-9110-01fa8b859596	GET	undefined	/
20220914	13:07:38	0953100d-c9e8-488c-b258-906c608ff3dd	GET	undefined	/css/style.css
20220914	13:08:29	b8c66223-85f6-4ec6-9b0e-27fd8a27a383	OPTIONS	https://www.google.com	/
20220914	13:08:29	c0b8b14c-a287-4b7a-a87c-425ad0117b6b	GET	https://www.google.com	/
20220914	13:10:52	ef173f50-5c73-4427-9a2d-0dcd1490bd5f	OPTIONS	https://www.google.com	/
20220914	13:10:53	a7d61a83-3d81-485f-a6cc-2d0bdeadab36	GET	https://www.google.com	/
20220914	13:15:55	e75f9195-cf21-4ae5-aeff-7bc9daa6bc8a	OPTIONS	https://www.google.com	/
20220914	13:15:55	e5d62eb2-d8e9-4967-bffc-63660899f964	GET	https://www.google.com	/
20220914	13:16:09	31774bfe-932b-465b-a64a-8603fc8a0e10	OPTIONS	https://www.google.com	/
20220914	13:16:09	e3646884-25fc-4a02-b88b-5bd6862801a0	GET	https://www.google.com	/
20220914	13:16:23	d3f68cc4-96a9-470c-8621-cc703605892b	OPTIONS	https://www.google.com	/
20220914	13:16:23	18d415bb-bcf9-427c-b04d-7397102c1622	GET	https://www.google.com	/
20220914	13:16:42	907a1b77-b76e-4228-b40f-568d6ab9f7a4	OPTIONS	https://www.google.com	/
20220914	13:16:42	0d06428c-236e-409e-96a0-b6eeeaae4f79	GET	https://www.google.com	/
